text,gender
"I'd do a birthday post, but, I don't wanna. Ouch! A ferret is beating me about the shins!",male
wow......looks like i dont know alot... i feel so guilty sometimes,male
yet another urlLink downside to working in porn...,male
"Blow this for a lark, I'm out. I want to STUFF the MONKEY!",male
Who names a candy Jolly Rancher? Do they also sell a Rump Ranger?,male
"Oh god, I have another 4 hours of this misery to go.",male
urlLink Nintendo revives GameCube production - News for at GameSpot,male
"'The bird does not care how it flies, and Oh! how it flies!' -- Unknown",male
urlLink George's Corner A link to my own blog. So there.,male
My chair started squeaking a few days ago and it's driving me nuts!,male
urlLink Kazaa-lite Shut Down This is perhaps the most interesting analogy I've heard in some time.,male
Hmm try for urlLink some cool quizes . I got 60 out of 100 right on the 80s quiz. ***,male
urlLink IBM looks to modernize Cobol - Computerworld . Wouldn't Turbo Smiley be proud.,male
Rubber Humans Vs Rubber Chickens... Do chickens find rubber humans funny?,male
there did you get it cause before it was a link so idk but now you should get it,male
went camping tired no time for punctuation talk later,male
"Is the city I live in, the city of Angels Lonely as I am, together we cry Thanks RHCP...:-)",male
getHTMLForIcon('spizz'); --> But that's ok because urlLink everyone else in the world is too !,male
"http://www.intellectualwhores.com/masterladder.html It's mostly true, with the odd exception.",male
urlLink urlLink our girls Originally uploaded by urlLink teamgraham .,male
I've added Chainmail for Vicky 3 and Urban War Wear for Arizona 2024 to the left links column. - JW,male
GOOD MORNING LA I can't wait for urlLink pointless urlLink morning urlLink chatter .,male
o_O x got milt x (4:26:54 PM): i hate capri pants too but only if guys wear them,male
"urlLink This seems fake. What people with enough free time can do... Mad, isnt it?",male
"I'm there like white on rice... or more accurately, carbs on pasta.",male
'The quarrels of lovers are the renewal of love.' -- Terence,male
urlLink my favorite building ever (more pics later) urlLink,male
This entry intentionally left blank. (Find out the point of that urlLink here ),male
shayne your freaking me out ha im great wat you guys doing tonight babe,male
Mrs. Clark I missed you too. The AP tests were so fun. ~Frank,male
urlLink Still trying to get this picture to get into my profile. Posted by urlLink Hello,male
yay ! Lee is back - somewhat ambiguously or ambivalently - but back,male
"urlLink Religious gathering grows to 150,000 participants.That's big!",male
"love me, love me, sayyyy that ya love me, move me move me, say that ya move me!",male
bethannyyyyy sorry I didn't go to your party....I was in Madtown visiting Gaby!! :),male
I'm totally making a post at an Apple Computers store!!!! Has anybody ever done that???!!!,male
. Annnounced today at 10:00 GMT by Fifa president Joseph Blatter.,male
Let joy be unconfined - urlLink weebl has a new urlLink toon,male
"urlLink Man, cops are sure unforgiving these days...",male
In no particular order: Israel China Vietnam India Egypt Greece Russia and of course Djibouti,male
urlLink An Intuitive Explanation of Bayesian Reasoning,male
Jam on 'cause Backstreet's got it Come on now everybody We've got it goin' on for years,male
This is great... LOL Sounds like something we would do Bean.,male
Now it's back to normal. *grr* I wonder what's wrong.,male
oh yeah and I need a new fricken title I don't like this one,male
Advocates of War Now Profit From Iraq's Reconstruction. urlLink check it out...,male
Wanting to be noticed invokes an ugliness I'm sure you never thought yourself capable of.,male
"Excellent idea Lynn. Today is Friday the 13th.... black, negro, dark, ebony Friday.",male
I'm an alien. Oh yeah...and that train crossing is still broken. It's gonna be a long night.,male
urlLink How many legs does the elephant have? Brought to you by HaKx,male
urlLink VH-SMH stting next to one of Pel Air's westwinds.,male
"I am so tired of this Robot bull-shit. I'm ready to go home now, Mr Hat.",male
urlLink This is listed as one of the most emailed photos on the MSNBC Newsbot site. DUH,male
"is this working now, it stopped working for a while from work as well",male
How long can a man act? And when the act becomes his life?,male
Correct he is gay which is what makes him even cuter.,male
I watched The Passion today... It was EXCELLENT. It was much better than I thought it would be...,male
It's sad when even your bad nighttime breath makes you think of something happy...,male
umm i got this from email. it's subject: ambushed American soldier in Iraq urlLink urlLink,male
Some urlLink interesting observations about presidential intelligence.,male
urlLink Scotsman.com News - International - Experts work to save Easter Island statues,male
urlLink Megan got all hopped up on cheese kurds and started doing The Alligator. urlLink,male
urlLink Interview with the Assassin I smell another Blair Witch Project. Via urlLink The Presurfer,male
is anybody going to post today? (they all probalbly have a load of hw),male
Yo Erin congrats on the course. Welcome back to student-hood.,male
